Date,Group,Time,Age,Sex,Juvenile age,EA mins,FO mins,RE mins,SO mins,TR mins,Total mins,EA Div Total,FO Div Total,RE Div Total,SO Div Total,TR Div Total
07/18/2017,A,12:45:00 PM,AM,M,,,,,,,,0,0.2,0.4,0,0.4
07/18/2017,A,12:56:00 PM,AM,M,,,,,,,,0,0.2,0.2,0,0.6
07/19/2017,A,09:07:00 AM,JV,F,J1,,,,,,,0.2,0.2,0.2,0,0.4
07/19/2017,A,09:27:00 AM,AM,M,,,,,,,,0,0.167,0,0,0.833
07/19/2017,A,09:33:00 AM,AM,M,,,,,,,,0.1,0.2,0.4,0,0.3
07/19/2017,A,09:46:00 AM,JV,M,J1,,,,,,,0.143,0.286,0.429,0,0.143
07/19/2017,A,10:07:00 AM,JV,M,J1,,,,,,,0.143,0.429,0.143,0,0.286
07/19/2017,A,10:14:00 AM,JV,M,J1,,,,,,,0.2,0.3,0.3,0,0.2
07/19/2017,A,10:23:00 AM,JV,F,J1,,,,,,,0,0.333,0.333,0.111,0.222
07/19/2017,A,10:41:00 AM,JV,F,J1,,,,,,,0,0.667,0.167,0,0.167
07/19/2017,A,11:07:00 AM,JV,F,J1,,,,,,,0,0.167,0,0.333,0.5
07/19/2017,A,11:37:00 AM,JV,M,J1,,,,,,,0,0.286,0.143,0,0.571
07/19/2017,A,11:49:00 AM,JV,M,J1,,,,,,,0.777,0.222,0,0,0
07/19/2017,A,12:13:00 PM,AM,M,,,,,,,,0.2,0.3,0.3,0,0.2
07/19/2017,A,12:59:00 PM,JV,F,J1,,,,,,,0.1,0.2,0.3,0.2,0.2
07/19/2017,A,01:10:00 AM,JV,M,J1,,,,,,,0.2,0.2,0.4,0,0.2
07/19/2017,A,01:15:00 AM,JV,F,J1,,,,,,,0,0.4,0.2,0,0.4
07/19/2017,A,01:21:00 AM,AM,M,,,,,,,,0.1,0,0.7,0,0.2
07/19/2017,A,01:31:00 AM,JV,F,J1,,,,,,,0,0.777,0.111,0,0.111
07/20/2017,B,10:12:00 AM,AM,M,,,,,,,,0,0.286,0.429,0,0.286
07/20/2017,B,10:35:00 AM,JV,F,J1,,,,,,,0,0.333,0,0.167,0.5
07/20/2017,B,10:54:00 AM,JV,M,J1,,,,,,,0,0.375,0.625,0,0
07/20/2017,B,11:04:00 AM,AM,M,,,,,,,,0.143,0.286,0.143,0,0.429
07/20/2017,B,11:12:00 AM,JV,M,J1,,,,,,,0.1,0.5,0.2,0,0.2
